::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:30:26 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 242.046 ms | 242.256 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:41:10 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | 549 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 279.271 ms | 279.537 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:41:10 GMT] | GET /api/hod/procforspec/emp00004 | HTTP/1.1 | 200 | 85 | http://localhost:8080/employee/specsheet | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 284.549 ms | 284.809 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:05 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 251.191 ms | 251.420 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:05 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 253.056 ms | 253.406 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:05 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 252.205 ms | 252.385 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:05 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 256.490 ms | 256.630 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:11 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 279.333 ms | 279.547 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:11 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 282.228 ms | 282.361 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:11 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 282.781 ms | 282.905 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:42:11 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 295.111 ms | 295.306 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:45:22 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 249.268 ms | 249.489 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:45:22 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 280.614 ms | 280.799 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:45:22 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 279.262 ms | 279.383 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 18:45:22 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 290.046 ms | 290.240 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:54 GMT] | OPTIONS /api/hod/create_req | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 1.029 ms | 2.451 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:54 GMT] | OPTIONS /api/hod/get_req_seq | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.118 ms | 0.281 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:54 GMT] | OPTIONS /api/hod/add_prod | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.107 ms | 0.253 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:56 GMT] | GET /api/hod/init/emp00004 | HTTP/1.1 | 200 | 4452 | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 608.074 ms | 608.532 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:56 GMT] | GET /api/hod/completed/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 631.164 ms | 631.533 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:56 GMT] | GET /api/hod/terminated/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 678.544 ms | 678.755 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:00:56 GMT] | GET /api/hod/approved/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 706.374 ms | 706.595 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:03:08 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 238.595 ms | 238.831 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:03:08 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 259.074 ms | 259.303 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:03:08 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 290.610 ms | 290.843 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:03:08 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 584.524 ms | 584.716 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:14 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 261.386 ms | 261.583 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:14 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 271.206 ms | 271.356 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:14 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 278.325 ms | 278.547 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:14 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 281.923 ms | 282.063 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:35 GMT] | OPTIONS /api/hod/create_req | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.134 ms | 0.352 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:35 GMT] | OPTIONS /api/hod/get_req_seq | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.079 ms | 0.240 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:35 GMT] | OPTIONS /api/hod/add_prod | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.072 ms | 0.213 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:37 GMT] | GET /api/hod/init/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 246.641 ms | 246.855 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:37 GMT] | GET /api/hod/terminated/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 261.502 ms | 261.709 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:37 GMT] | GET /api/hod/completed/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 265.962 ms | 266.183 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:06:37 GMT] | GET /api/hod/approved/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 542.465 ms | 542.789 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:09:44 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 228.768 ms | 229.016 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:09:44 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 283.251 ms | 283.432 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:09:44 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 284.198 ms | 284.412 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:09:44 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 279.722 ms | 279.851 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:08 GMT] | OPTIONS /api/hod/create_req | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.120 ms | 0.326 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:08 GMT] | OPTIONS /api/hod/get_req_seq | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.079 ms | 0.249 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:08 GMT] | OPTIONS /api/hod/add_prod | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.071 ms | 0.209 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:10 GMT] | GET /api/hod/approved/emp00004 | HTTP/1.1 | 200 | 2 | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 306.998 ms | 307.350 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:10 GMT] | GET /api/hod/completed/emp00004 | HTTP/1.1 | 200 | 2 | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 307.426 ms | 307.595 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:10 GMT] | GET /api/hod/terminated/emp00004 | HTTP/1.1 | 200 | 2 | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 314.706 ms | 314.953 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:10:10 GMT] | GET /api/hod/init/emp00004 | HTTP/1.1 | 200 | 4452 | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 331.785 ms | 332.010 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:11:58 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 270.346 ms | 270.560 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:11:58 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 271.935 ms | 272.119 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:11:58 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 269.476 ms | 269.607 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:11:58 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 269.435 ms | 269.574 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:12:01 GMT] | GET /api/hod/approved/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 235.452 ms | 235.674 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:12:01 GMT] | GET /api/hod/completed/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 243.434 ms | 243.631 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:12:01 GMT] | GET /api/hod/terminated/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 254.912 ms | 255.103 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:12:01 GMT] | GET /api/hod/init/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 270.222 ms | 270.407 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:13:54 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 235.763 ms | 235.976 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:13:54 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 236.998 ms | 237.187 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:13:54 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 234.223 ms | 234.353 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:13:54 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 245.749 ms | 245.995 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:21 GMT] | OPTIONS /api/hod/create_req | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.113 ms | 0.319 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:21 GMT] | OPTIONS /api/hod/get_req_seq | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.080 ms | 0.212 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:21 GMT] | OPTIONS /api/hod/add_prod | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.068 ms | 0.189 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:22 GMT] | GET /api/hod/init/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 251.268 ms | 251.456 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:22 GMT] | GET /api/hod/approved/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 251.125 ms | 251.250 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:22 GMT] | GET /api/hod/completed/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 243.869 ms | 243.991 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:14:22 GMT] | GET /api/hod/terminated/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 243.538 ms | 243.661 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:25:41 GMT] | GET /api/hod/dir_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 564.678 ms | 566.012 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:25:41 GMT] | GET /api/hod/products | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 560.905 ms | 561.039 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:25:41 GMT] | GET /api/hod/get_req_seq | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 566.386 ms | 566.625 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:25:41 GMT] | GET /api/hod/db_empid | HTTP/1.1 | 200 | - | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 588.486 ms | 588.779 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:26:20 GMT] | OPTIONS /api/hod/create_req | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.244 ms | 0.466 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:26:20 GMT] | OPTIONS /api/hod/get_req_seq | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.098 ms | 0.299 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:26:20 GMT] | OPTIONS /api/hod/add_prod | HTTP/1.1 | 204 | 0 | http://localhost:8080/hod/newproc | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 0.080 ms | 0.272 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:26:22 GMT] | GET /api/hod/init/emp00004 | HTTP/1.1 | 200 | 4100 | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 238.117 ms | 238.510 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:26:22 GMT] | GET /api/hod/approved/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 246.358 ms | 246.694 |
::ffff:127.0.0.1 | - | [Tue, 06 Oct 2020 19:26:22 GMT] | GET /api/hod/completed/emp00004 | HTTP/1.1 | 200 | - | http://localhost:8080/hod | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0 | 246.904 ms | 247.157 |
